# This is a continuation of trace file /home/alumno/Escritorio/504021/workspace/.metadata/trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2015-11-02 17:42:53.926
| Worker-23 | 2015-11-02 17:48:09.715 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-23 | 2015-11-02 17:48:09.715 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.716 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-23 | 2015-11-02 17:48:09.716 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.716 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-23 | 2015-11-02 17:48:09.716 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.718 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-23 | 2015-11-02 17:48:09.718 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.722 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 4 ms |
| Worker-23 | 2015-11-02 17:48:09.722 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.724 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 2 ms |
| Worker-23 | 2015-11-02 17:48:09.725 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.728 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-23 | 2015-11-02 17:48:09.729 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.732 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 3 ms |
| Worker-23 | 2015-11-02 17:48:09.733 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.737 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 4 ms |
| Worker-23 | 2015-11-02 17:48:09.738 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-23 | 2015-11-02 17:48:09.739 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 1 ms |
| Worker-11 | 2015-11-02 17:53:21.060 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.060 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-11 | 2015-11-02 17:53:21.061 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.062 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
| Worker-11 | 2015-11-02 17:53:21.062 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.070 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 8 ms |
| Worker-11 | 2015-11-02 17:53:21.071 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Really updating the installed plugin list |
| Worker-11 | 2015-11-02 17:53:21.071 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 175 | Updated plugin list in 0 ms |
